Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);100*F1/tiempo promedio;F0.5: (1+0.25)*precision*recall/((0.25*precision)+recall);pasoEscala;umbralAgrupamiento;hit_threshold;setSVMDetector;escala_inicial;convertir_a_gris;ecualizar_histograma;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;
DH_ht_05;set235nuevo_reales;900;588;575;13;550;0.488889;29.218069;0.014444;0.706173;42.203876;59.764233;0.977891;0.511111;0.499811;0.671337;1.123309;0.826862;1.050000;2;0.400000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_06;set235nuevo_reales;900;551;542;9;583;0.518222;31.729340;0.010000;0.518222;31.729340;61.227285;0.983666;0.481778;0.473908;0.646778;1.056356;0.814058;1.050000;2;0.500000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_07;set235nuevo_reales;900;354;352;2;773;0.687111;40.717281;0.002222;0.152691;9.048285;59.258654;0.994350;0.312889;0.311121;0.475997;0.803254;0.692641;1.050000;2;1.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_08;set235nuevo_reales;900;80;79;1;1046;0.929778;54.000977;0.001111;0.103309;6.000109;58.079444;0.987500;0.070222;0.069344;0.131120;0.225760;0.273356;1.050000;2;2.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_09;set235nuevo_reales;900;1;1;0;1124;0.999111;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000889;0.000889;0.001776;inf;0.004429;1.050000;2;4.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_sd_01;set235nuevo_reales;900;775;745;30;383;0.339539;19.688738;0.033333;1.131797;65.629135;57.986672;0.961290;0.660461;0.634895;0.782974;1.350266;0.881031;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_sd_02;set235nuevo_reales;900;4574;907;3667;224;0.198055;10.390868;4.074444;80.696335;4233.701660;52.464607;0.198295;0.801945;0.159021;0.317967;0.606059;0.233438;1.050000;2;0.000000;getDaimlerPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_bl_01;set235nuevo_reales;900;775;745;30;383;0.339539;22.495937;0.033333;1.131797;74.986465;66.254349;0.961290;0.660461;0.634895;0.782974;1.181770;0.881031;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_bl_02;set235nuevo_reales;900;775;740;35;387;0.343390;22.404753;0.038889;1.335404;87.129601;65.245881;0.954839;0.656610;0.626957;0.778128;1.192609;0.875325;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;3;false;false;false;false;
DH_bl_03;set235nuevo_reales;900;768;727;41;401;0.355496;22.557808;0.045556;1.619484;102.763351;63.454382;0.946615;0.644504;0.610096;0.766878;1.208550;0.865476;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;5;false;false;false;false;
DH_bl_04;set235nuevo_reales;900;724;685;39;443;0.392731;25.154085;0.043333;1.701832;109.001038;64.049226;0.946133;0.607270;0.574557;0.739741;1.154957;0.851143;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;7;false;false;false;false;
DH_bl_05;set235nuevo_reales;900;826;642;184;485;0.430346;27.864080;0.204444;8.798185;569.665588;64.748079;0.777240;0.569654;0.442758;0.657450;1.015397;0.724441;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;9;false;false;false;false;
DH_xx_01;set235nuevo_reales;900;719;695;24;430;0.382222;28.545130;0.026667;1.019259;76.120346;74.682022;0.966620;0.617778;0.597157;0.753796;1.009341;0.868533;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;false;false;false;3;false;false;false;false;
DH_xx_02;set235nuevo_reales;900;1107;790;317;339;0.300266;18.057701;0.352222;10.576027;636.032410;60.139070;0.713640;0.699734;0.499359;0.706619;1.174975;0.710815;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;false;false;3;false;false;false;false;
DH_xx_03;set235nuevo_reales;900;775;745;30;383;0.339539;20.243177;0.033333;1.131797;67.477264;59.619590;0.961290;0.660461;0.634895;0.782974;1.313284;0.881031;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
