Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);100*F1/tiempo promedio;F0.5: (1+0.25)*precision*recall/((0.25*precision)+recall);pasoEscala;umbralAgrupamiento;hit_threshold;setSVMDetector;escala_inicial;convertir_a_gris;ecualizar_histograma;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;
DH_ff_01;set235nuevo_reales;900;775;745;30;383;0.339539;19.808359;0.033333;1.131797;66.027870;58.338978;0.961290;0.660461;0.634895;0.782974;1.342112;0.881031;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ff_02;set235nuevo_reales;900;775;745;30;383;0.339539;20.090309;0.033333;1.131797;66.967705;59.169369;0.961290;0.660461;0.634895;0.782974;1.323276;0.881031;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;true;false;false;false;
DH_ff_03;set235nuevo_reales;900;775;745;30;383;0.339539;19.578909;0.033333;1.131797;65.263039;57.663208;0.961290;0.660461;0.634895;0.782974;1.357840;0.881031;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;true;false;false;
DH_ff_04;set235nuevo_reales;900;775;745;30;383;0.339539;19.679855;0.033333;1.131797;65.599518;57.960509;0.961290;0.660461;0.634895;0.782974;1.350875;0.881031;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;true;false;
DH_ff_05;set235nuevo_reales;900;775;745;30;383;0.339539;19.544111;0.033333;1.131797;65.147041;57.560721;0.961290;0.660461;0.634895;0.782974;1.360258;0.881031;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;true;
