Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);100*F1/tiempo promedio;F0.5: (1+0.25)*precision*recall/((0.25*precision)+recall);direccion_a_cascada;escala_inicial;tamanio_minimo;tamanio_maximo;convertir_a_gris;ecualizar_histograma;scaleFactor;minNeighbors;usar_profundidad_altura;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;
DF_ei_01;set1_reales;24;14;14;0;1;0.066667;3.037598;0.000000;0.000000;0.000000;45.563972;1.000000;0.933333;0.933333;0.965517;2.119037;0.985915;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.000000;[50 x 100];[180 x 360];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_02;set1_reales;24;13;13;0;2;0.133333;4.610911;0.000000;0.000000;0.000000;34.581831;1.000000;0.866667;0.866667;0.928571;2.685143;0.970149;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.200000;[42 x 83];[150 x 300];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_03;set1_reales;24;13;13;0;2;0.133333;3.911294;0.000000;0.000000;0.000000;29.334708;1.000000;0.866667;0.866667;0.928571;3.165436;0.970149;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_04;set1_reales;24;12;12;0;3;0.200000;4.776032;0.000000;0.000000;0.000000;23.880158;1.000000;0.800000;0.800000;0.888889;3.722291;0.952381;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.500000;[33 x 67];[120 x 240];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_05;set1_reales;24;8;8;0;7;0.466667;8.825804;0.000000;0.000000;0.000000;18.912437;1.000000;0.533333;0.533333;0.695652;3.678279;0.851064;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;2.000000;[25 x 50];[90 x 180];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ei_06;set1_reales;24;3;3;0;12;0.800000;5.125512;0.000000;0.000000;0.000000;6.406890;1.000000;0.200000;0.200000;0.333333;5.202732;0.555556;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;3.000000;[17 x 33];[60 x 120];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_sf_01;set1_reales;24;17;15;2;0;0.000000;0.000000;0.083333;0.000000;0.000000;58.238554;0.882353;1.000000;0.882353;0.937500;1.609758;0.903614;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.050000;4;false;false;3;false;false;false;false;
DF_sf_02;set1_reales;24;13;13;0;2;0.133333;4.336500;0.000000;0.000000;0.000000;32.523746;1.000000;0.866667;0.866667;0.928571;2.855057;0.970149;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_sf_03;set1_reales;24;12;12;0;3;0.200000;4.905608;0.000000;0.000000;0.000000;24.528042;1.000000;0.800000;0.800000;0.888889;3.623970;0.952381;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.150000;4;false;false;3;false;false;false;false;
DF_sf_04;set1_reales;24;11;10;1;5;0.333333;5.711719;0.041667;1.388889;23.798830;17.135155;0.909091;0.666667;0.606061;0.769231;4.489197;0.847458;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.200000;4;false;false;3;false;false;false;false;
