Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);100*F1/tiempo promedio;F0.5: (1+0.25)*precision*recall/((0.25*precision)+recall);direccion_a_cascada;escala_inicial;tamanio_minimo;tamanio_maximo;convertir_a_gris;ecualizar_histograma;scaleFactor;minNeighbors;usar_profundidad_altura;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;
DF_bl_01;set1_reales;24;13;13;0;2;0.133333;3.940258;0.000000;0.000000;0.000000;29.551931;1.000000;0.866667;0.866667;0.928571;3.142169;0.970149;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_bl_02;set1_reales;24;13;13;0;2;0.133333;5.089709;0.000000;0.000000;0.000000;38.172815;1.000000;0.866667;0.866667;0.928571;2.432546;0.970149;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;true;3;false;false;false;false;
DF_bl_03;set1_reales;24;15;15;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;34.588960;1.000000;1.000000;1.000000;1.000000;2.891096;1.000000;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;true;5;false;false;false;false;
DF_bl_04;set1_reales;24;16;15;1;0;0.000000;0.000000;0.041667;0.000000;0.000000;41.217707;0.937500;1.000000;0.937500;0.967742;2.347879;0.949367;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;true;7;false;false;false;false;
DF_bl_05;set1_reales;24;17;15;2;0;0.000000;0.000000;0.083333;0.000000;0.000000;38.828524;0.882353;1.000000;0.882353;0.937500;2.414462;0.903614;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;true;9;false;false;false;false;
