Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);F1/tiempo promedio;pasoEscala;umbralAgrupamiento;hit_threshold;setSVMDetector;escala_inicial;convertir_a_gris;ecualizar_histograma;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;
DH_ht_07;set1_reales;24;7;1;6;14;0.933333;58.755322;0.250000;23.333334;1468.883057;62.952129;0.142857;0.066667;0.009524;0.090909;0.001444;1.050000;2;1.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_08;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;1.050000;2;2.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_09;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;1.050000;2;4.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_sd_01;set1_reales;24;32;3;29;13;0.812500;51.109413;1.208333;98.177086;6175.721191;62.903894;0.093750;0.187500;0.017578;0.125000;0.001987;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_sd_02;set1_reales;24;199;46;153;9;0.163636;9.345710;6.375000;104.318176;5957.889648;57.112672;0.231156;0.836364;0.193330;0.362205;0.006342;1.050000;2;0.000000;getDaimlerPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_bl_01;set1_reales;24;32;3;29;13;0.812500;48.831512;1.208333;98.177086;5900.474609;60.100325;0.093750;0.187500;0.017578;0.125000;0.002080;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_bl_02;set1_reales;24;29;5;24;12;0.705882;48.615330;1.000000;70.588234;4861.532715;68.871714;0.172414;0.294118;0.050710;0.217391;0.003156;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;3;false;false;false;false;
DH_bl_03;set1_reales;24;28;3;25;13;0.812500;51.689137;1.041667;84.635414;5384.284668;63.617397;0.107143;0.187500;0.020089;0.136364;0.002143;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;5;false;false;false;false;
DH_bl_04;set1_reales;24;26;3;23;13;0.812500;49.909603;0.958333;77.864578;4783.003418;61.427203;0.115385;0.187500;0.021635;0.142857;0.002326;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;7;false;false;false;false;
DH_bl_05;set1_reales;24;24;2;22;14;0.875000;53.646858;0.916667;80.208336;4917.628906;61.310696;0.083333;0.125000;0.010417;0.100000;0.001631;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;9;false;false;false;false;
DH_xx_01;set1_reales;24;34;7;27;11;0.611111;46.306259;1.125000;68.750000;5209.454102;75.773877;0.205882;0.388889;0.080065;0.269231;0.003553;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;false;false;false;3;false;false;false;false;
DH_xx_02;set1_reales;24;35;0;35;15;1.000000;73.394073;1.458333;145.833344;10703.303711;73.394075;0.000000;0.000000;0.000000;-nan;-nan;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;false;false;3;false;false;false;false;
DH_xx_03;set1_reales;24;32;3;29;13;0.812500;48.497955;1.208333;98.177086;5860.169922;59.689791;0.093750;0.187500;0.017578;0.125000;0.002094;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ff_01;set1_reales;24;32;3;29;13;0.812500;46.383915;1.208333;98.177086;5604.723145;57.087894;0.093750;0.187500;0.017578;0.125000;0.002190;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ff_02;set1_reales;24;32;3;29;13;0.812500;46.513611;1.208333;98.177086;5620.394531;57.247519;0.093750;0.187500;0.017578;0.125000;0.002184;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;true;false;false;false;
DH_ff_03;set1_reales;24;32;3;29;13;0.812500;46.675892;1.208333;98.177086;5640.003906;57.447253;0.093750;0.187500;0.017578;0.125000;0.002176;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;true;false;false;
DH_ff_04;set1_reales;24;32;3;29;13;0.812500;46.124168;1.208333;98.177086;5573.337402;56.768209;0.093750;0.187500;0.017578;0.125000;0.002202;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;true;false;
DH_ff_05;set1_reales;24;32;3;29;13;0.812500;48.323460;1.208333;98.177086;5839.084961;59.475028;0.093750;0.187500;0.017578;0.125000;0.002102;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;true;
