Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);100*F1/tiempo promedio;F0.5: (1+0.25)*precision*recall/((0.25*precision)+recall);direccion_a_cascada;escala_inicial;tamanio_minimo;tamanio_maximo;convertir_a_gris;ecualizar_histograma;scaleFactor;minNeighbors;usar_profundidad_altura;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;
DF_mn_04;set235nuevo_reales;900;727;615;112;518;0.457193;18.867140;0.124444;5.689517;234.791077;41.267315;0.845942;0.542807;0.459183;0.661290;1.602455;0.760950;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;3;false;false;3;false;false;false;false;
DF_mn_05;set235nuevo_reales;900;633;577;56;554;0.489832;20.611755;0.062222;3.047844;128.250931;42.079234;0.911532;0.510168;0.465035;0.654195;1.554674;0.787606;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_mn_06;set235nuevo_reales;900;581;549;32;580;0.513729;21.241571;0.035556;1.826592;75.525589;41.347817;0.944923;0.486271;0.459488;0.642105;1.552936;0.794961;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;5;false;false;3;false;false;false;false;
DF_mn_07;set235nuevo_reales;900;533;515;18;612;0.543035;22.592081;0.020000;1.086069;45.184162;41.603391;0.966229;0.456965;0.441533;0.620482;1.491422;0.790120;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;6;false;false;3;false;false;false;false;
DF_mn_08;set235nuevo_reales;900;505;494;11;633;0.561668;23.343479;0.012222;0.686483;28.530920;41.560981;0.978218;0.438332;0.428784;0.605392;1.456636;0.784874;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;7;false;false;3;false;false;false;false;
DF_mn_09;set235nuevo_reales;900;480;474;6;652;0.579041;24.198828;0.006667;0.386027;16.132551;41.791229;0.987500;0.420959;0.415697;0.590286;1.412465;0.778070;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;8;false;false;3;false;false;false;false;
DF_bl_01;set235nuevo_reales;900;633;577;56;554;0.489832;20.386244;0.062222;3.047844;126.847740;41.618846;0.911532;0.510168;0.465035;0.654195;1.571872;0.787606;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_bl_02;set235nuevo_reales;900;720;624;96;509;0.449250;19.956009;0.106667;4.791997;212.864090;44.420743;0.866667;0.550750;0.477317;0.673502;1.516189;0.777473;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;true;3;false;false;false;false;
DF_bl_03;set235nuevo_reales;900;863;692;171;443;0.390308;18.480671;0.190000;7.415859;351.132751;47.348896;0.801854;0.609692;0.488884;0.692693;1.462954;0.754306;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;true;5;false;false;false;false;
DF_bl_04;set235nuevo_reales;900;911;701;210;428;0.379097;18.639568;0.233333;8.845586;434.923248;49.168395;0.769484;0.620903;0.477775;0.687255;1.397757;0.734339;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;true;7;false;false;false;false;
DF_bl_05;set235nuevo_reales;900;1013;742;271;394;0.346831;17.261404;0.301111;10.443466;519.760010;49.768918;0.732478;0.653169;0.478432;0.690554;1.387520;0.715112;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;true;9;false;false;false;false;
DF_cc_01;set235nuevo_reales;900;633;577;56;554;0.489832;20.249943;0.062222;3.047844;125.999649;41.340588;0.911532;0.510168;0.465035;0.654195;1.582452;0.787606;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_cc_02;set235nuevo_reales;900;201;103;98;1022;0.908444;26.278585;0.108889;9.891951;286.144592;28.927013;0.512438;0.091556;0.046917;0.155354;0.537057;0.266978;./../clasificadores/haarcascade_fullbody.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
