Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);F1/tiempo promedio;pasoEscala;umbralAgrupamiento;hit_threshold;setSVMDetector;escala_inicial;convertir_a_gris;ecualizar_histograma;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;
DH_bl_01;set235_reales;900;773;429;344;564;0.567976;32.490482;0.382222;21.709299;1241.858521;57.203992;0.554981;0.432024;0.239765;0.485844;0.008493;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_bl_02;set235_reales;900;775;422;353;565;0.572442;33.101128;0.392222;22.452438;1298.299927;57.824449;0.544516;0.427558;0.232812;0.479001;0.008284;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;3;false;false;false;false;
DH_bl_03;set235_reales;900;765;408;357;580;0.587045;33.886143;0.396667;23.286100;1344.150391;57.723292;0.533333;0.412955;0.220243;0.465488;0.008064;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;5;false;false;false;false;
DH_bl_04;set235_reales;900;723;391;332;590;0.601427;34.740486;0.368889;22.185980;1281.537964;57.763414;0.540802;0.398573;0.215549;0.458920;0.007945;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;7;false;false;false;false;
DH_bl_05;set235_reales;900;824;398;426;615;0.607108;35.155136;0.473333;28.736425;1664.009766;57.905943;0.483010;0.392892;0.189771;0.433315;0.007483;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;9;false;false;false;false;
