Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);F1/tiempo promedio;pasoEscala;umbralAgrupamiento;hit_threshold;setSVMDetector;escala_inicial;convertir_a_gris;ecualizar_histograma;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;
DH_pe_01;set235_reales;900;772;424;348;560;0.569106;33.183884;0.386667;22.005419;1283.110107;58.308822;0.549223;0.430894;0.236657;0.482916;0.008282;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_02;set235_reales;900;595;319;276;628;0.663147;23.319876;0.306667;20.336502;715.142883;35.165482;0.536134;0.336853;0.180599;0.413748;0.011766;1.100000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_03;set235_reales;900;465;247;218;681;0.733836;19.205574;0.242222;17.775143;465.201630;26.171471;0.531183;0.266164;0.141382;0.354630;0.013550;1.150000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_04;set235_reales;900;278;153;125;762;0.832787;18.535379;0.138889;11.566484;257.435822;22.257050;0.550360;0.167213;0.092027;0.256496;0.011524;1.200000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_05;set235_reales;900;42;27;15;887;0.970460;17.487175;0.016667;1.617433;29.145292;18.019479;0.642857;0.029540;0.018990;0.056485;0.003135;1.400000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_06;set235_reales;900;21;9;12;905;0.990153;16.963568;0.013333;1.320204;22.618092;17.132267;0.428571;0.009847;0.004220;0.019251;0.001124;2.000000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_07;set235_reales;900;18;8;10;906;0.991247;16.428326;0.011111;1.101386;18.253696;16.573389;0.444444;0.008753;0.003890;0.017167;0.001036;4.000000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_01;set235_reales;900;1410;317;1093;720;0.694310;40.726479;1.214444;84.320145;4946.004395;58.657445;0.224823;0.305689;0.068726;0.259093;0.004417;1.050000;0;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_02;set235_reales;900;1078;525;553;547;0.510261;29.932308;0.614444;31.352715;1839.174072;58.660760;0.487013;0.489739;0.238509;0.488372;0.008325;1.050000;1;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_03;set235_reales;900;773;425;348;561;0.568965;33.629501;0.386667;21.999998;1300.340698;59.106398;0.549806;0.431034;0.236985;0.483229;0.008176;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_04;set235_reales;900;691;383;308;586;0.604747;36.750885;0.342222;20.695791;1257.696899;60.770661;0.554269;0.395253;0.219076;0.461446;0.007593;1.050000;3;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_05;set235_reales;900;623;350;273;608;0.634656;37.205883;0.303333;19.251219;1128.578491;58.623742;0.561798;0.365344;0.205250;0.442758;0.007553;1.050000;4;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_06;set235_reales;900;563;310;253;634;0.671610;39.548660;0.281111;18.879709;1111.756836;58.886330;0.550622;0.328390;0.180819;0.411413;0.006987;1.050000;5;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_07;set235_reales;900;505;265;240;667;0.715665;43.491459;0.266667;19.084406;1159.772339;60.770678;0.524752;0.284335;0.149205;0.368824;0.006069;1.050000;6;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_08;set235_reales;900;463;245;218;681;0.735421;44.854961;0.242222;17.813534;1086.486694;60.992205;0.529158;0.264579;0.140004;0.352772;0.005784;1.050000;7;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_09;set235_reales;900;412;213;199;708;0.768730;48.158344;0.221111;16.997465;1064.834473;62.646662;0.516990;0.231270;0.119565;0.319580;0.005101;1.050000;8;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_01;set235_reales;900;774;422;352;564;0.572008;34.962490;0.391111;22.371874;1367.421875;61.122365;0.545220;0.427992;0.233350;0.479545;0.007846;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_02;set235_reales;900;774;426;348;565;0.570131;35.866772;0.386667;22.045073;1386.848511;62.909684;0.550388;0.429869;0.236594;0.482720;0.007673;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_03;set235_reales;900;774;428;346;561;0.567240;33.481285;0.384444;21.807213;1287.169434;59.024938;0.552972;0.432760;0.239304;0.485536;0.008226;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_04;set235_reales;900;774;427;347;561;0.567814;33.352459;0.385556;21.892376;1285.922607;58.738378;0.551680;0.432186;0.238428;0.484677;0.008251;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_05;set235_reales;900;773;426;347;563;0.569262;32.771027;0.385556;21.948210;1263.505127;57.567572;0.551100;0.430738;0.237380;0.483541;0.008400;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_06;set235_reales;900;773;424;349;564;0.570850;34.199219;0.387778;22.136301;1326.169556;59.909268;0.548512;0.429150;0.235394;0.481545;0.008038;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_07;set235_reales;900;354;205;149;717;0.777657;45.071648;0.165556;12.874547;746.186096;57.958239;0.579096;0.222343;0.128758;0.321317;0.005544;1.050000;2;1.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_08;set235_reales;900;80;56;24;858;0.938731;53.903236;0.026667;2.503282;143.741974;57.421399;0.700000;0.061269;0.042888;0.112676;0.001962;1.050000;2;2.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_09;set235_reales;900;1;1;0;913;0.998906;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.001094;0.001094;0.002186;inf;1.050000;2;4.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_sd_01;set235_reales;900;773;427;346;562;0.568251;32.455746;0.384444;21.846085;1247.743042;57.115179;0.552393;0.431749;0.238495;0.484677;0.008486;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_sd_02;set235_reales;900;4485;2840;1645;319;0.100981;5.212115;1.827778;18.457142;952.658875;51.614646;0.633222;0.899019;0.569278;0.743066;0.014396;1.050000;2;0.000000;getDaimlerPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_bl_01;set235_reales;900;773;429;344;564;0.567976;32.490482;0.382222;21.709299;1241.858521;57.203992;0.554981;0.432024;0.239765;0.485844;0.008493;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_bl_02;set235_reales;900;775;422;353;565;0.572442;33.101128;0.392222;22.452438;1298.299927;57.824449;0.544516;0.427558;0.232812;0.479001;0.008284;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;3;false;false;false;false;
DH_bl_03;set235_reales;900;765;408;357;580;0.587045;33.886143;0.396667;23.286100;1344.150391;57.723292;0.533333;0.412955;0.220243;0.465488;0.008064;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;5;false;false;false;false;
DH_bl_04;set235_reales;900;723;391;332;590;0.601427;34.740486;0.368889;22.185980;1281.537964;57.763414;0.540802;0.398573;0.215549;0.458920;0.007945;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;7;false;false;false;false;
DH_bl_05;set235_reales;900;824;398;426;615;0.607108;35.155136;0.473333;28.736425;1664.009766;57.905943;0.483010;0.392892;0.189771;0.433315;0.007483;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;9;false;false;false;false;
DH_xx_01;set235_reales;900;715;377;338;598;0.613333;41.888882;0.375556;23.034075;1573.160278;68.297091;0.527273;0.386667;0.203879;0.446154;0.006533;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;false;false;false;3;false;false;false;false;
DH_xx_02;set235_reales;900;1102;554;548;543;0.494986;28.153070;0.608889;30.139168;1714.209106;56.876460;0.502722;0.505014;0.253882;0.503865;0.008859;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;false;false;3;false;false;false;false;
DH_xx_03;set235_reales;900;772;426;346;562;0.568826;32.542919;0.384444;21.868196;1251.094482;57.210686;0.551813;0.431174;0.237928;0.484091;0.008462;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ff_01;set235_reales;900;773;423;350;561;0.570122;32.608574;0.388889;22.171410;1268.111206;57.195786;0.547219;0.429878;0.235237;0.481503;0.008418;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ff_02;set235_reales;900;771;426;345;561;0.568389;32.446529;0.383333;21.788246;1243.783569;57.085068;0.552529;0.431611;0.238478;0.484642;0.008490;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;true;false;false;false;
DH_ff_03;set235_reales;900;773;425;348;564;0.570273;32.735939;0.386667;22.050554;1265.789551;57.403981;0.549806;0.429727;0.236266;0.482406;0.008404;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;true;false;false;
DH_ff_04;set235_reales;900;773;427;346;562;0.568251;32.535900;0.384444;21.846085;1250.824585;57.256236;0.552393;0.431749;0.238495;0.484677;0.008465;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;true;false;
DH_ff_05;set235_reales;900;772;424;348;564;0.570850;32.708179;0.386667;22.072872;1264.716064;57.297306;0.549223;0.429150;0.235699;0.481818;0.008409;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;true;
