Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);100*F1/tiempo promedio;F0.5: (1+0.25)*precision*recall/((0.25*precision)+recall);pasoEscala;umbralAgrupamiento;hit_threshold;setSVMDetector;escala_inicial;convertir_a_gris;ecualizar_histograma;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;
DH_pe_01;set1_reales;24;32;6;26;9;0.600000;35.015877;1.083333;65.000008;3793.386963;58.359794;0.187500;0.400000;0.075000;0.255319;0.437492;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_02;set1_reales;24;21;5;16;10;0.666667;24.077829;0.666667;44.444450;1605.188721;36.116743;0.238095;0.333333;0.079365;0.277778;0.769111;0.252525;1.100000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_03;set1_reales;24;7;3;4;12;0.800000;21.325167;0.166667;13.333334;355.419464;26.656458;0.428571;0.200000;0.085714;0.272727;1.023119;0.348837;1.150000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_04;set1_reales;24;3;2;1;13;0.866667;20.014193;0.041667;3.611111;83.392471;23.093300;0.666667;0.133333;0.088889;0.222222;0.962280;0.370370;1.200000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_05;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;1.400000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_06;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;2.000000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_pe_07;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;4.000000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_01;set1_reales;24;107;20;87;6;0.230769;13.349372;3.625000;83.653847;4839.147461;57.847280;0.186916;0.769231;0.143781;0.300752;0.519907;0.220264;1.050000;0;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_02;set1_reales;24;38;8;30;7;0.466667;27.053783;1.250000;58.333336;3381.723145;57.972392;0.210526;0.533333;0.112281;0.301887;0.520742;0.239521;1.050000;1;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_03;set1_reales;24;32;6;26;9;0.600000;34.203850;1.083333;65.000008;3705.417480;57.006416;0.187500;0.400000;0.075000;0.255319;0.447878;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_04;set1_reales;24;25;6;19;9;0.600000;35.505070;0.791667;47.500004;2810.818115;59.175112;0.240000;0.400000;0.096000;0.300000;0.506970;0.260870;1.050000;3;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_05;set1_reales;24;14;5;9;10;0.666667;38.649261;0.375000;25.000002;1449.347412;57.973893;0.357143;0.333333;0.119048;0.344828;0.594798;0.352113;1.050000;4;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_06;set1_reales;24;7;4;3;11;0.733333;40.898273;0.125000;9.166667;511.228424;55.770371;0.571429;0.266667;0.152381;0.363636;0.652024;0.465116;1.050000;5;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_07;set1_reales;24;5;3;2;12;0.800000;47.786224;0.083333;6.666667;398.218567;59.732780;0.600000;0.200000;0.120000;0.300000;0.502237;0.428571;1.050000;6;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_08;set1_reales;24;5;3;2;12;0.800000;45.244946;0.083333;6.666667;377.041229;56.556181;0.600000;0.200000;0.120000;0.300000;0.530446;0.428571;1.050000;7;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ua_09;set1_reales;24;4;3;1;12;0.800000;46.079121;0.041667;3.333333;191.996338;57.598901;0.750000;0.200000;0.150000;0.315789;0.548256;0.483871;1.050000;8;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_01;set1_reales;24;32;6;26;9;0.600000;34.810635;1.083333;65.000008;3771.152344;58.017721;0.187500;0.400000;0.075000;0.255319;0.440071;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_02;set1_reales;24;31;6;25;9;0.600000;35.072479;1.041667;62.500000;3653.383301;58.454132;0.193548;0.400000;0.077419;0.260870;0.446281;0.215827;1.050000;2;0.100000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
