Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);100*F1/tiempo promedio;F0.5: (1+0.25)*precision*recall/((0.25*precision)+recall);direccion_a_cascada;escala_inicial;tamanio_minimo;tamanio_maximo;convertir_a_gris;ecualizar_histograma;scaleFactor;minNeighbors;usar_profundidad_altura;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;
DF_mn_05;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_mn_06;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;5;false;false;3;false;false;false;false;
DF_mn_07;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;6;false;false;3;false;false;false;false;
DF_mn_08;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;7;false;false;3;false;false;false;false;
DF_mn_09;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;8;false;false;3;false;false;false;false;
DF_bl_01;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_bl_02;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;true;3;false;false;false;false;
DF_bl_03;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;true;5;false;false;false;false;
DF_bl_04;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;true;7;false;false;false;false;
DF_bl_05;set1_reales;24;1;0;1;15;1.000000;37.387402;0.041667;4.166667;155.780853;37.387402;0.000000;0.000000;0.000000;-nan;-nan;-nan;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;true;9;false;false;false;false;
DF_cc_01;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_cc_02;set1_reales;24;2;0;2;15;1.000000;27.155201;0.083333;8.333334;226.293350;27.155200;0.000000;0.000000;0.000000;-nan;-nan;-nan;./../clasificadores/haarcascade_fullbody.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_cc_03;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;./../clasificadores/haarcascade_lowerbody.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_cc_04;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;./../clasificadores/haarcascade_upperbody.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_cc_05;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;./../clasificadores/haarcascade_mcs_upperbody.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ff_01;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ff_02;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;true;false;false;false;
DF_ff_03;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;true;false;false;
DF_ff_04;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;true;false;
DF_ff_05;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;true;
DF_xx_01;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];false;false;1.100000;4;false;false;3;false;false;false;false;
DF_xx_02;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;false;1.100000;4;false;false;3;false;false;false;false;
DF_xx_03;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_xx_04;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;true;false;3;false;false;false;false;
