Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);100*F1/tiempo promedio;F0.5: (1+0.25)*precision*recall/((0.25*precision)+recall);direccion_a_cascada;escala_inicial;tamanio_minimo;tamanio_maximo;convertir_a_gris;ecualizar_histograma;scaleFactor;minNeighbors;usar_profundidad_altura;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;
DF_mn_06;set235nuevo_reales;900;581;549;32;580;0.513729;22.141567;0.035556;1.826592;78.725571;43.099704;0.944923;0.486271;0.459488;0.642105;1.489814;0.794961;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;5;false;false;3;false;false;false;false;
DF_mn_07;set235nuevo_reales;900;533;515;18;612;0.543035;23.620287;0.020000;1.086069;47.240574;43.496833;0.966229;0.456965;0.441533;0.620482;1.426499;0.790120;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;6;false;false;3;false;false;false;false;
DF_mn_08;set235nuevo_reales;900;505;494;11;633;0.561668;24.502024;0.012222;0.686483;29.946918;43.623664;0.978218;0.438332;0.428784;0.605392;1.387761;0.784874;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;7;false;false;3;false;false;false;false;
DF_mn_09;set235nuevo_reales;900;480;474;6;652;0.579041;25.295092;0.006667;0.386027;16.863396;43.684471;0.987500;0.420959;0.415697;0.590286;1.351250;0.778070;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;8;false;false;3;false;false;false;false;
DF_bl_01;set235nuevo_reales;900;633;577;56;554;0.489832;21.128931;0.062222;3.047844;131.468903;43.135055;0.911532;0.510168;0.465035;0.654195;1.516620;0.787606;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_bl_02;set235nuevo_reales;900;720;624;96;509;0.449250;20.843603;0.106667;4.791997;222.331772;46.396471;0.866667;0.550750;0.477317;0.673502;1.451624;0.777473;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;true;3;false;false;false;false;
DF_bl_03;set235nuevo_reales;900;863;692;171;443;0.390308;19.464724;0.190000;7.415859;369.829742;49.870114;0.801854;0.609692;0.488884;0.692693;1.388994;0.754306;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;true;5;false;false;false;false;
DF_bl_04;set235nuevo_reales;900;911;701;210;428;0.379097;19.439339;0.233333;8.845586;453.584534;51.278068;0.769484;0.620903;0.477775;0.687255;1.340251;0.734339;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;true;7;false;false;false;false;
DF_bl_05;set235nuevo_reales;900;1013;742;271;394;0.346831;17.961130;0.301111;10.443466;540.829529;51.786403;0.732478;0.653169;0.478432;0.690554;1.333465;0.715112;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;true;9;false;false;false;false;
DF_cc_01;set235nuevo_reales;900;633;577;56;554;0.489832;21.439066;0.062222;3.047844;133.398636;43.768200;0.911532;0.510168;0.465035;0.654195;1.494681;0.787606;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
