Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);100*F1/tiempo promedio;F0.5: (1+0.25)*precision*recall/((0.25*precision)+recall);direccion_a_cascada;escala_inicial;tamanio_minimo;tamanio_maximo;convertir_a_gris;ecualizar_histograma;scaleFactor;minNeighbors;usar_profundidad_altura;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;
DF_mn_04;set235_reales;900;677;541;136;373;0.408096;17.505320;0.151111;6.166788;264.524841;42.895074;0.799114;0.591904;0.472998;0.680075;1.585440;0.746825;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;3;false;false;3;false;false;false;false;
DF_mn_05;set235_reales;900;596;515;81;399;0.436543;18.569637;0.090000;3.928884;167.126740;42.537966;0.864094;0.563457;0.486880;0.682119;1.603554;0.780776;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_mn_06;set235_reales;900;556;497;59;417;0.456236;20.488503;0.065556;2.990883;134.313522;44.907651;0.893885;0.543764;0.486062;0.676191;1.505736;0.791906;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;5;false;false;3;false;false;false;false;
DF_mn_07;set235_reales;900;515;474;41;440;0.481400;20.895033;0.045556;2.193046;95.188477;43.404682;0.920388;0.518600;0.477313;0.663401;1.528409;0.796907;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;6;false;false;3;false;false;false;false;
DF_mn_08;set235_reales;900;490;458;32;456;0.498906;21.994820;0.035556;1.773888;78.203804;44.086107;0.934694;0.501094;0.468370;0.652422;1.479880;0.796799;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;7;false;false;3;false;false;false;false;
DF_mn_09;set235_reales;900;469;442;27;472;0.516411;24.029856;0.030000;1.549234;72.089569;46.532393;0.942431;0.483589;0.455749;0.639190;1.373646;0.792115;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;8;false;false;3;false;false;false;false;
DF_bl_01;set235_reales;900;596;515;81;399;0.436543;19.521252;0.090000;3.928884;175.691269;44.717857;0.864094;0.563457;0.486880;0.682119;1.525384;0.780776;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_bl_02;set235_reales;900;682;549;133;365;0.399344;18.948818;0.147778;5.901411;280.021423;47.449915;0.804985;0.600656;0.483520;0.687970;1.449887;0.753707;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;true;3;false;false;false;false;
DF_bl_03;set235_reales;900;811;597;214;318;0.347541;16.930120;0.237778;8.263752;402.560669;48.714030;0.736128;0.652459;0.480293;0.691773;1.420069;0.717721;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;true;5;false;false;false;false;
DF_bl_04;set235_reales;900;864;607;257;308;0.336612;17.582325;0.285556;9.612143;502.073029;52.233208;0.702546;0.663388;0.466061;0.682406;1.306460;0.694349;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;true;7;false;false;false;false;
DF_bl_05;set235_reales;900;957;639;318;276;0.301639;16.210152;0.353333;10.657924;572.758728;53.740176;0.667712;0.698361;0.466304;0.682692;1.270357;0.673624;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;true;9;false;false;false;false;
DF_cc_01;set235_reales;900;596;515;81;399;0.436543;19.293446;0.090000;3.928884;173.641006;44.196012;0.864094;0.563457;0.486880;0.682119;1.543395;0.780776;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_cc_02;set235_reales;900;200;102;98;812;0.888403;25.415598;0.108889;9.673717;276.747620;28.608197;0.510000;0.111597;0.056915;0.183124;0.640110;0.297550;./../clasificadores/haarcascade_fullbody.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_cc_03;set235_reales;900;81;66;15;848;0.927790;15.413020;0.016667;1.546317;25.688368;16.612619;0.814815;0.072210;0.058838;0.132663;0.798570;0.266559;./../clasificadores/haarcascade_lowerbody.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_cc_04;set235_reales;900;44;0;44;914;1.000000;13.122897;0.048889;4.888889;64.156387;13.122897;0.000000;0.000000;0.000000;-nan;-nan;-nan;./../clasificadores/haarcascade_upperbody.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_cc_05;set235_reales;900;419;13;406;901;0.985777;25.534988;0.451111;44.469482;1151.911621;25.903418;0.031026;0.014223;0.000441;0.019505;0.075298;0.025097;./../clasificadores/haarcascade_mcs_upperbody.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ff_01;set235_reales;900;596;515;81;399;0.436543;18.263195;0.090000;3.928884;164.368759;41.835993;0.864094;0.563457;0.486880;0.682119;1.630460;0.780776;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_ff_02;set235_reales;900;458;421;37;493;0.539387;19.225788;0.041111;2.217481;79.039352;35.643754;0.919214;0.460613;0.423402;0.613703;1.721768;0.766570;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;true;false;false;false;
DF_ff_03;set235_reales;900;385;365;20;549;0.600656;21.111650;0.022222;1.334792;46.914780;35.147631;0.948052;0.399344;0.378598;0.561971;1.598887;0.743684;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;true;false;false;
DF_ff_04;set235_reales;900;311;303;8;611;0.668490;21.217199;0.008889;0.594213;18.859734;31.738985;0.974277;0.331510;0.322982;0.494694;1.558632;0.702039;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;true;false;
DF_ff_05;set235_reales;900;299;287;12;627;0.685996;21.685078;0.013333;0.914661;28.913437;31.611101;0.959866;0.314004;0.301402;0.473207;1.496964;0.680095;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;true;
DF_xx_01;set235_reales;900;622;494;128;420;0.459519;19.267124;0.142222;6.535376;274.021332;41.928932;0.794212;0.540481;0.429257;0.643229;1.534094;0.726044;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];false;false;1.100000;4;false;false;3;false;false;false;false;
DF_xx_02;set235_reales;900;625;499;126;415;0.454048;18.477867;0.140000;6.356674;258.690125;40.695832;0.798400;0.545952;0.435888;0.648473;1.593463;0.730814;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;false;1.100000;4;false;false;3;false;false;false;false;
DF_xx_03;set235_reales;900;596;515;81;399;0.436543;18.148018;0.090000;3.928884;163.332169;41.572152;0.864094;0.563457;0.486880;0.682119;1.640808;0.780776;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;false;false;3;false;false;false;false;
DF_xx_04;set235_reales;900;533;482;51;432;0.472648;19.862709;0.056667;2.678337;112.555351;42.024342;0.904315;0.527352;0.476893;0.666206;1.585286;0.791202;./../clasificadores/visionary.net_pedestrian_cascade_web_LBP.xml;1.300000;[38 x 77];[138 x 277];true;true;1.100000;4;true;false;3;false;false;false;false;
