Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);100*F1/tiempo promedio;F0.5: (1+0.25)*precision*recall/((0.25*precision)+recall);pasoEscala;umbralAgrupamiento;hit_threshold;setSVMDetector;escala_inicial;convertir_a_gris;ecualizar_histograma;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;
DH_ht_06;set1_reales;24;32;6;26;9;0.600000;34.734531;1.083333;65.000008;3762.907959;57.890884;0.187500;0.400000;0.075000;0.255319;0.441035;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_07;set1_reales;24;7;4;3;11;0.733333;41.620430;0.125000;9.166667;520.255371;56.755129;0.571429;0.266667;0.152381;0.363636;0.640711;0.465116;1.050000;2;1.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_08;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;1.050000;2;2.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ht_09;set1_reales;24;1;1;0;14;0.933333;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.066667;0.066667;0.125000;inf;0.263158;1.050000;2;4.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_sd_01;set1_reales;24;32;6;26;9;0.600000;34.296268;1.083333;65.000008;3715.429199;57.160444;0.187500;0.400000;0.075000;0.255319;0.446671;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_sd_02;set1_reales;24;186;15;171;2;0.117647;6.051139;7.125000;83.823524;4311.436035;51.434678;0.080645;0.882353;0.071157;0.147783;0.287322;0.098555;1.050000;2;0.000000;getDaimlerPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_bl_01;set1_reales;24;32;6;26;9;0.600000;34.322708;1.083333;65.000008;3718.293457;57.204510;0.187500;0.400000;0.075000;0.255319;0.446327;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_bl_02;set1_reales;24;29;5;24;10;0.666667;38.326469;1.000000;66.666672;3832.647217;57.489703;0.172414;0.333333;0.057471;0.227273;0.395328;0.190840;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;3;false;false;false;false;
DH_bl_03;set1_reales;24;28;6;22;9;0.600000;34.454212;0.916667;55.000004;3158.302734;57.423682;0.214286;0.400000;0.085714;0.279070;0.485984;0.236220;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;5;false;false;false;false;
DH_bl_04;set1_reales;24;26;5;21;10;0.666667;38.584957;0.875000;58.333336;3376.183838;57.877435;0.192308;0.333333;0.064103;0.243902;0.421412;0.210084;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;7;false;false;false;false;
DH_bl_05;set1_reales;24;24;5;19;10;0.666667;38.256252;0.791667;52.777782;3028.620117;57.384375;0.208333;0.333333;0.069444;0.256410;0.446829;0.225225;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;true;9;false;false;false;false;
DH_xx_01;set1_reales;24;34;9;25;6;0.400000;27.248596;1.041667;41.666664;2838.395264;68.121491;0.264706;0.600000;0.158824;0.367347;0.539253;0.298013;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;false;false;false;3;false;false;false;false;
DH_xx_02;set1_reales;24;35;8;27;7;0.466667;26.420851;1.125000;52.500000;2972.345703;56.616108;0.228571;0.533333;0.121905;0.320000;0.565210;0.258065;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;false;false;3;false;false;false;false;
DH_xx_03;set1_reales;24;32;6;26;9;0.600000;33.997169;1.083333;65.000008;3683.027100;56.661947;0.187500;0.400000;0.075000;0.255319;0.450601;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ff_01;set1_reales;24;32;6;26;9;0.600000;34.264877;1.083333;65.000008;3712.028809;57.108128;0.187500;0.400000;0.075000;0.255319;0.447080;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ff_02;set1_reales;24;32;6;26;9;0.600000;34.130280;1.083333;65.000008;3697.447510;56.883800;0.187500;0.400000;0.075000;0.255319;0.448843;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;true;false;false;false;
DH_ff_03;set1_reales;24;32;6;26;9;0.600000;33.915668;1.083333;65.000008;3674.197510;56.526110;0.187500;0.400000;0.075000;0.255319;0.451684;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;true;false;false;
DH_ff_04;set1_reales;24;32;6;26;9;0.600000;34.323837;1.083333;65.000008;3718.416016;57.206394;0.187500;0.400000;0.075000;0.255319;0.446312;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;true;false;
DH_ff_05;set1_reales;24;32;6;26;9;0.600000;34.183647;1.083333;65.000008;3703.228516;56.972741;0.187500;0.400000;0.075000;0.255319;0.448143;0.209790;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;true;
